@relation 'Relase 4 integrated-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R4'

@attribute 'Filters result' {PASSED,FAILED}
@attribute 'Gross profit (IS)' numeric
@attribute 'Gross loss (IS)' numeric
@attribute 'numberof profits (IS)' numeric
@attribute 'numberof trades (IS)' numeric
@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Worst Year Profit (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'AvgProfit Per Year (IS)' numeric
@attribute 'Standard Deviation of Profit Per Year (IS)' numeric
@attribute 'Varianceof Profit Per Year (IS)' numeric
@attribute 'Net profit (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Profit Per Year (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric

@data
FAILED,10086,4252.5,23,36,63.64,23,36,13,-795,7.29,5.91,0.75,7.29,729.13,773.91,598944.2,5833.5,777.8,97.22,103.19,10647.9,598944.2,1,1.061407
FAILED,11357.25,5367,25,41,54.55,25,41,16,-461.25,7.49,6.04,0.74,7.49,748.75,765.8,586442.24,5990.25,798.7,99.84,102.11,10425.64,586442.24,2,1.022736
FAILED,11802.75,4839,26,41,63.64,26,41,15,-795,8.7,6.83,0.81,8.7,870.38,975.4,951400.55,6963.75,928.5,116.06,130.05,16913.79,951400.55,1,1.120541
FAILED,12086.25,4521.75,26,40,63.64,26,40,14,-795,9.46,7.29,1.04,9.45,945.5,1077.05,1160033.31,7564.5,1008.6,126.07,143.61,20622.81,1160033.31,1,1.139129
FAILED,11704.5,5076,25,40,54.55,25,40,15,-461.25,8.29,6.56,0.83,8.28,828.5,859.06,737990.69,6628.5,883.8,110.47,114.54,13119.83,737990.69,2,1.036843
PASSED,25106.25,11107.5,16,33,58.33,16,33,17,-1539,17.5,11.56,0.92,17.5,1749.75,3561.83,12686656.29,13998.75,1866.5,233.31,474.91,225540.56,12686656.29,3,2.035532
FAILED,10313.1,2912.4,22,35,50,22,35,13,-132.3,9.25,7.17,1.21,9.25,925,1075.89,1157548.18,7400.7,822.3,102.79,119.54,14290.72,1157548.18,2,1.162954
FAILED,9380.7,3071.7,23,35,66.67,23,35,12,6.3,7.89,6.3,1.13,7.89,788.63,827.25,684348.5,6309,701,87.62,91.92,8448.75,684348.5,0,1.049076
FAILED,10390.5,3819.6,21,35,41.67,21,35,14,-909,8.21,6.52,0.73,8.21,821.25,1454.57,2115772.65,6570.9,730.1,91.26,161.62,26120.65,2115772.65,3,1.770984
FAILED,12043.8,4487.4,24,43,50,24,43,19,-657,9.45,7.29,0.78,9.44,944.5,1363.42,1858922.66,7556.4,839.6,104.95,151.49,22949.66,1858922.66,2,1.443449
FAILED,9392.4,2625.3,23,36,66.67,23,36,13,167.4,8.46,6.67,1.16,8.46,845.88,840.85,707030.64,6767.1,751.9,93.99,93.43,8728.77,707030.64,0,0.994042
FAILED,9574.2,3397.5,24,37,66.67,24,37,13,6.3,7.72,6.2,1.1,7.72,772,861.47,742123.31,6176.7,686.3,85.79,95.72,9162.02,742123.31,0,1.115748
FAILED,9466.2,3203.1,23,36,66.67,23,36,13,6.3,7.83,6.27,1.12,7.83,782.88,812.91,660817.94,6263.1,695.9,86.99,90.32,8158.25,660817.94,0,1.03828
FAILED,10062,3303,26,40,58.33,26,40,14,-169.2,8.45,6.67,1.08,8.45,844.88,873.38,762787.9,6759,751,93.87,97.04,9417.13,762787.9,1,1.03377
FAILED,11889.9,3593.7,24,38,50,24,38,14,-474.3,10.37,7.84,0.79,10.37,1037,1366.85,1868265.55,8296.2,921.8,115.23,151.87,23065.01,1868265.55,2,1.317973
FAILED,6686.1,2848.5,18,36,50,18,36,18,-135,4.8,4.14,0.93,4.8,479.63,817.02,667528.49,3837.6,426.4,53.3,90.78,8241.09,667528.49,2,1.703189
FAILED,11097,3357.9,25,40,50,25,40,15,-396,9.67,7.43,0.96,9.67,967.38,1181.25,1395351.63,7739.1,859.9,107.49,131.25,17226.56,1395351.63,2,1.221044
FAILED,9562.5,4015.8,25,41,58.33,25,41,16,-150.3,6.93,5.67,0.97,6.93,693.25,852.76,727196.12,5546.7,616.3,77.04,94.75,8977.73,727196.12,1,1.229881
FAILED,11487.6,4160.7,25,39,50,25,39,14,-446.4,9.16,7.11,0.78,9.16,915.75,1341.92,1800736.51,7326.9,814.1,101.76,149.1,22231.31,1800736.51,2,1.465212
FAILED,10871.1,3811.5,26,44,58.33,26,44,18,-666,8.82,6.9,0.84,8.82,882.38,1006.52,1013075.7,7059.6,784.4,98.05,111.84,12507.11,1013075.7,1,1.140643
FAILED,11316.6,3984.3,24,37,50,24,37,13,-513,9.17,7.12,0.87,9.16,916.5,1321.49,1746335.69,7332.3,814.7,101.84,146.83,21559.7,1746335.69,2,1.441771
FAILED,9015.3,3385.8,22,35,50,22,35,13,-241.2,7.04,5.74,0.96,7.04,703.63,959.3,920249.58,5629.5,625.5,78.19,106.59,11361.11,920249.58,3,1.363218
FAILED,11799.9,3974.4,25,39,58.33,25,39,14,-666.9,9.78,7.49,0.73,9.78,978.13,1330.84,1771141.4,7825.5,869.5,108.69,147.87,21865.94,1771141.4,1,1.360475
FAILED,10062,3417.3,26,40,58.33,26,40,14,-124.2,8.31,6.58,1.06,8.31,830.5,846.91,717262.8,6644.7,738.3,92.29,94.1,8855.1,717262.8,1,1.019612
FAILED,11092.5,4358.7,29,46,50,29,46,17,-661.5,8.42,6.65,0.71,8.42,841.63,1234.89,1524960.81,6733.8,748.2,93.52,137.21,18826.68,1524960.81,2,1.467173
FAILED,10050.3,3585.6,27,44,50,27,44,17,-473.4,8.08,6.43,0.9,8.08,808,985.9,971991.38,6464.7,718.3,89.79,109.54,11999.89,971991.38,2,1.219958
FAILED,10909.8,4488.3,25,37,66.67,25,37,12,228.6,8.03,6.4,0.73,8.03,802.63,405.46,164394.05,6421.5,713.5,89.19,45.05,2029.56,164394.05,0,0.505101
FAILED,10002.6,4402.8,28,44,41.67,28,44,16,-516.6,7,5.72,0.74,7,699.88,1200.67,1441614.06,5599.8,622.2,77.77,133.41,17797.7,1441614.06,3,1.715443
FAILED,8658.9,3232.8,26,43,58.33,26,43,17,-51.3,6.78,5.57,0.83,6.78,678.25,767.72,589395.27,5426.1,602.9,75.36,85.3,7276.48,589395.27,1,1.1319
FAILED,10904.4,3573.9,23,35,50,23,35,12,-513,9.16,7.12,0.87,9.16,916.25,1327.93,1763392.95,7330.5,814.5,101.81,147.55,21770.28,1763392.95,2,1.449268
FAILED,11779.2,3317.4,22,35,50,22,35,13,-414,10.58,7.97,0.95,10.58,1057.63,1388.9,1929054.07,8461.8,940.2,117.53,154.32,23815.48,1929054.07,2,1.313026
FAILED,9439.2,3397.5,24,37,66.67,24,37,13,6.3,7.55,6.09,1.07,7.55,755.13,854.42,730029,6041.7,671.3,83.91,94.94,9012.7,730029,0,1.13145
FAILED,10468.8,2924.1,23,35,41.67,23,35,12,-76.5,9.43,7.28,1.17,9.43,943,1072.07,1149342.3,7544.7,838.3,104.79,119.12,14189.41,1149342.3,3,1.13675
FAILED,11233.8,4075.2,25,41,50,25,41,16,-775.8,8.95,6.98,0.74,8.95,894.75,1322.91,1750079.45,7158.6,795.4,99.43,146.99,21605.92,1750079.45,2,1.478326
FAILED,10075.5,3606.3,23,35,41.67,23,35,12,-445.5,8.09,6.43,1.06,8.09,808.63,1272.22,1618552.78,6469.2,718.8,89.85,141.36,19982.13,1618552.78,3,1.573289
FAILED,9387,3397.5,25,38,66.67,25,38,13,6.3,7.49,6.04,1.06,7.49,748.63,859.27,738349.31,5989.5,665.5,83.19,95.47,9115.42,738349.31,0,1.147614
FAILED,8745.3,2841.3,20,35,50,20,35,15,-147.6,7.38,5.97,0.78,7.38,738,845.95,715632.56,5904,656,82,93.99,8834.97,715632.56,2,1.14622
FAILED,9464.4,2929.5,19,34,41.67,19,34,15,-601.2,8.17,6.49,1.19,8.17,816.75,1431.47,2049111.09,6534.9,726.1,90.76,159.05,25297.67,2049111.09,3,1.752424
FAILED,9285.3,2716.2,23,36,50,23,36,13,-735.3,8.21,6.52,1,8.21,821.13,1328.9,1765971.06,6569.1,729.9,91.24,147.66,21802.11,1765971.06,2,1.618369
FAILED,10584.9,3054.6,24,36,58.33,24,36,12,-646.2,9.41,7.27,0.84,9.41,941.25,1280.01,1638414.61,7530.3,836.7,104.59,142.22,20227.34,1638414.61,1,1.359786
FAILED,8257.5,2622.6,22,35,50,22,35,13,-418.5,7.04,5.75,1.11,7.04,704.25,1031.05,1063066.5,5634.9,626.1,78.26,114.56,13124.28,1063066.5,2,1.463838
FAILED,13030.2,5511.6,27,40,66.67,27,40,13,24.3,9.4,7.26,0.85,9.4,939.75,689.67,475643.3,7518.6,835.4,104.42,76.63,5872.14,475643.3,0,0.733863
FAILED,11687.4,3317.4,22,35,50,22,35,13,-414,10.46,7.9,0.93,10.46,1046.25,1362.5,1856407.81,8370,930,116.25,151.39,22918.62,1856407.81,2,1.30228
FAILED,10332,2604.6,25,36,66.67,25,36,11,91.8,9.66,7.42,1.32,9.66,965.88,979.82,960039.29,7727.4,858.6,107.32,108.87,11852.34,960039.29,0,1.014443
FAILED,10226.7,3833.1,19,34,41.67,19,34,15,-798.3,7.99,6.37,0.9,7.99,799.13,1454.55,2115707.4,6393.6,710.4,88.8,161.62,26119.85,2115707.4,3,1.820045
FAILED,10906.2,3851.1,22,35,41.67,22,35,13,-631.8,8.82,6.9,0.76,8.82,881.88,1264.49,1598936.68,7055.1,783.9,97.99,140.5,19739.96,1598936.68,3,1.43382
FAILED,9371.7,4017.6,26,43,50,26,43,17,-241.2,6.69,5.51,0.88,6.69,669.25,905.92,820685.1,5354.1,594.9,74.36,100.66,10131.91,820685.1,2,1.353685
FAILED,9167.4,2716.2,21,34,50,21,34,13,-735.3,8.06,6.42,0.97,8.06,806.38,1294.16,1674840.86,6451.2,716.8,89.6,143.8,20677.05,1674840.86,2,1.604911
FAILED,8212.5,2622.6,22,35,50,22,35,13,-418.5,6.99,5.71,1.1,6.99,698.63,1017.47,1035237.94,5589.9,621.1,77.64,113.05,12780.72,1035237.94,2,1.456079
FAILED,9712.8,3071.7,24,36,66.67,24,36,12,6.3,8.3,6.57,1.2,8.3,830.13,931.84,868329.3,6641.1,737.9,92.24,103.54,10720.12,868329.3,0,1.122507
FAILED,10458.9,3515.4,30,45,58.33,30,45,15,-394.2,8.68,6.81,1.08,8.68,867.88,878.04,770950.5,6943.5,771.5,96.44,97.56,9517.91,770950.5,1,1.011613
FAILED,8167.5,2622.6,22,35,50,22,35,13,-418.5,6.93,5.67,1.08,6.93,693,1003.92,1007852.34,5544.9,616.1,77.01,111.55,12442.62,1007852.34,2,1.448513
FAILED,11142,4761,31,50,50,31,50,19,-405,7.98,6.36,0.73,7.98,797.63,1034.43,1070045.57,6381,709,88.63,114.94,13210.44,1070045.57,2,1.296852
FAILED,10566.9,2978.1,22,36,50,22,36,14,-132.3,9.49,7.31,1.25,9.49,948.5,1130.1,1277133.09,7588.8,843.2,105.4,125.57,15767.08,1277133.09,2,1.191366
FAILED,12657.6,5366.7,28,40,66.67,28,40,12,24.3,9.11,7.08,0.82,9.11,911.25,677.62,459170.78,7290.9,810.1,101.26,75.29,5668.77,459170.78,0,0.743532
FAILED,9335.7,3517.2,22,36,50,22,36,14,-241.2,7.27,5.9,0.99,7.27,727.25,1015.81,1031877.72,5818.5,646.5,80.81,112.87,12739.23,1031877.72,3,1.396733
FAILED,12372.3,4172.4,25,37,41.67,25,37,12,-571.5,10.25,7.77,0.9,10.25,1024.88,1428.66,2041081.02,8199.9,911.1,113.89,158.74,25198.53,2041081.02,3,1.393801
FAILED,10705.5,3819.6,23,37,41.67,23,37,14,-909,8.61,6.77,0.77,8.61,860.63,1544.66,2385983.59,6885.9,765.1,95.64,171.63,29456.59,2385983.59,3,1.794542
FAILED,12035.7,5371.2,31,44,66.67,31,44,13,24.3,8.33,6.59,0.73,8.33,833,636.89,405626.33,6664.5,740.5,92.56,70.77,5007.73,405626.33,0,0.764585
