@relation 'Relase 4 integrated shortened-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R14'

@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric
@attribute 'Filters result' {PASSED,FAILED}

@data
66.67,26,37,11,9.08,7.06,0.82,9.08,806.8,100.85,71.66,0,0.71056,FAILED
41.67,23,36,13,8.4,6.64,0.77,8.4,747.1,93.39,139.14,3,1.489881,FAILED
58.33,19,34,15,10.47,7.9,0.12,10.47,930.9,116.36,283.14,3,2.43331,PASSED
54.55,23,35,12,6.32,5.25,0.83,6.32,562.1,70.26,80.25,2,1.142186,PASSED
54.55,28,42,14,6.56,5.41,0.94,6.56,582.8,72.85,68.23,2,0.936582,PASSED
63.64,23,34,11,4.64,4.02,1.85,4.64,412.4,51.55,46.02,1,0.892726,PASSED
63.64,24,34,10,3.48,3.12,1.51,3.48,309.2,38.65,31.7,1,0.820181,PASSED
63.64,24,34,10,5.2,4.45,2.15,5.2,462.5,57.81,43.34,1,0.749697,PASSED
54.55,28,39,11,5.98,5.01,0.79,5.98,531.4,66.43,83.28,2,1.25365,PASSED
54.55,23,34,11,6.27,5.21,0.82,6.27,557.4,69.68,81.83,2,1.174369,PASSED
54.55,23,34,11,6.23,5.18,0.81,6.23,553.6,69.2,81.26,2,1.174277,PASSED
63.64,24,34,10,3.17,2.87,1.39,3.17,282.1,35.26,27.24,1,0.772547,PASSED
58.33,19,34,15,-5.94,-7.74,-0.05,-5.94,-527.9,-65.99,688.33,5,-10.430823,PASSED
54.55,17,31,14,7.6,6.12,0.85,7.6,608.2,76.02,112.97,2,1.486056,PASSED
54.55,19,31,12,6.88,5.64,1.03,6.88,550.6,68.83,104.92,2,1.524335,PASSED
54.55,20,35,15,7.89,6.31,1.15,7.89,631,78.88,113.87,2,1.443585,PASSED
45.45,22,36,14,9.64,7.41,0.8,9.65,771.6,96.45,135.07,3,1.400415,PASSED
54.55,21,31,10,8.89,6.94,1.07,8.89,711.1,88.89,123.64,2,1.390933,PASSED
45.45,20,32,12,9.63,7.4,0.81,9.63,770.2,96.28,143.34,3,1.488783,PASSED
54.55,20,32,12,9.8,7.51,0.8,9.8,784.3,98.04,111.34,2,1.135659,PASSED
