@relation 'Relase 4 integrated-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R4'

@attribute 'Filters result' {PASSED,FAILED}
@attribute 'Gross profit (IS)' numeric
@attribute 'Gross loss (IS)' numeric
@attribute 'numberof profits (IS)' numeric
@attribute 'numberof trades (IS)' numeric
@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Worst Year Profit (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'AvgProfit Per Year (IS)' numeric
@attribute 'Standard Deviation of Profit Per Year (IS)' numeric
@attribute 'Varianceof Profit Per Year (IS)' numeric
@attribute 'Net profit (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Profit Per Year (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric

@data
PASSED,9027,2937,25,36,53.85,25,36,11,-167.25,7.61,6.13,0.86,7.61,761.25,627.65,393949.83,6090,812,101.5,83.69,7003.55,393949.83,1,0.824532
PASSED,8508,2694.75,22,35,53.85,22,35,13,-230.25,7.27,5.9,1.15,7.27,726.63,735.63,541155.86,5813.25,775.1,96.89,98.08,9620.55,541155.86,1,1.012282
PASSED,8664,2514,24,36,53.85,24,36,12,-192.75,7.69,6.17,1.16,7.69,768.75,770.78,594103.64,6150,820,102.5,102.77,10561.84,594103.64,1,1.002634
PASSED,8022.75,1880.25,24,35,53.85,24,35,11,-96,7.68,6.17,1.32,7.68,767.75,591.61,350001.81,6142.5,819,102.38,78.88,6222.25,350001.81,1,0.770463
PASSED,8045.25,1880.25,25,36,53.85,25,36,11,-96,7.71,6.19,1.33,7.71,770.63,596.5,355812.61,6165,822,102.75,79.53,6325.56,355812.61,1,0.774015
PASSED,7443,2832,21,36,30.77,21,36,15,-268.5,5.76,4.85,0.83,5.76,576.38,1111.19,1234737.28,4611,614.8,76.85,148.16,21950.89,1234737.28,4,1.927912
PASSED,8378.25,3534,23,36,38.46,23,36,13,-386.25,6.06,5.06,0.72,6.05,605.5,828.13,685793.66,4844.25,645.9,80.74,110.42,12191.89,685793.66,3,1.3676
PASSED,10431,3785.25,27,40,53.85,27,40,13,-48,8.31,6.58,0.88,8.31,830.63,590.79,349035.19,6645.75,886.1,110.76,78.77,6205.07,349035.19,1,0.711177
PASSED,9345,3047.25,25,37,53.85,25,37,12,-164.25,7.87,6.3,0.76,7.87,787.13,606.96,368400.66,6297.75,839.7,104.96,80.93,6549.34,368400.66,1,0.771056
PASSED,8330.25,3234.75,23,36,30.77,23,36,13,-199.5,6.37,5.28,0.77,6.37,636.88,1027.25,1055235.2,5095.5,679.4,84.92,136.97,18759.74,1055235.2,4,1.61293
