Strategy name,Filters result,Symbol,Gross profit (IS),Gross loss (IS),Avg. Profit Per Year (IS),numberof profits (IS),numberof trades (IS),% Profitable Months (IS),# of profits (IS),# of trades (IS),# of losses (IS),Worst Year Profit (IS),Annual % Return (IS),CAGR (IS),CalmarRatio (IS),Avg. % Profit Per Year (IS),AvgProfit Per Year (IS),Standard Deviation of Profit Per Year (IS),Varianceof Profit Per Year (IS),Net profit (IS),Net profit in pips (IS),Avg. Yearly Profit In Pips (IS),Standard Deviation of Yearly Profit In Pips (IS),Variance of Yearly Profit In Pips (IS),Variance of Profit Per Year (IS),Count Of Losing Years (IS),Coefficient of Variation,Net profit (OOS)
Strategy 0.165,FAILED,GBPJPY_M1_UTC2,8658.9,3232.8,678.25,26,43,58.33,26,43,17,-51.3,6.78,5.57,0.83,6.78,678.25,767.72,589395.27,5426.1,602.9,75.36,85.3,7276.48,589395.27,1,1.131900212,-2450.7
Strategy 0.1714,FAILED,GBPJPY_M1_UTC2,10904.4,3573.9,916.25,23,35,50.0,23,35,12,-513.0,9.16,7.12,0.87,9.16,916.25,1327.93,1763392.95,7330.5,814.5,101.81,147.55,21770.28,1763392.95,2,1.449268245,-1094.4
Strategy 0.1723,FAILED,GBPJPY_M1_UTC2,11779.2,3317.4,1057.63,22,35,50.0,22,35,13,-414.0,10.58,7.97,0.95,10.58,1057.63,1388.9,1929054.07,8461.8,940.2,117.53,154.32,23815.48,1929054.07,2,1.313026461,-1547.1
Strategy 0.1764,FAILED,GBPJPY_M1_UTC2,9439.2,3397.5,755.13,24,37,66.67,24,37,13,6.3,7.55,6.09,1.07,7.55,755.13,854.42,730029.0,6041.7,671.3,83.91,94.94,9012.7,730029.0,0,1.131450363,-1906.2
Strategy 0.1860,FAILED,GBPJPY_M1_UTC2,10468.8,2924.1,943.0,23,35,41.67,23,35,12,-76.5,9.43,7.28,1.17,9.43,943.0,1072.07,1149342.3,7544.7,838.3,104.79,119.12,14189.41,1149342.3,3,1.13674969,-2253.6
Strategy 0.1879,FAILED,GBPJPY_M1_UTC2,11233.8,4075.2,894.75,25,41,50.0,25,41,16,-775.8,8.95,6.98,0.74,8.95,894.75,1322.91,1750079.45,7158.6,795.4,99.43,146.99,21605.92,1750079.45,2,1.478326461,-1806.3
Strategy 0.190,FAILED,GBPJPY_M1_UTC2,10075.5,3606.3,808.63,23,35,41.67,23,35,12,-445.5,8.09,6.43,1.06,8.09,808.63,1272.22,1618552.78,6469.2,718.8,89.85,141.36,19982.13,1618552.78,3,1.573288815,-630.0
Strategy 0.1963,FAILED,GBPJPY_M1_UTC2,9387.0,3397.5,748.63,25,38,66.67,25,38,13,6.3,7.49,6.04,1.06,7.49,748.63,859.27,738349.31,5989.5,665.5,83.19,95.47,9115.42,738349.31,0,1.147613896,-1768.5
Strategy 0.1982,FAILED,GBPJPY_M1_UTC2,8745.3,2841.3,738.0,20,35,50.0,20,35,15,-147.6,7.38,5.97,0.78,7.38,738.0,845.95,715632.56,5904.0,656.0,82.0,93.99,8834.97,715632.56,2,1.146219512,-2369.7
Strategy 0.200,FAILED,GBPJPY_M1_UTC2,9464.4,2929.5,816.75,19,34,41.67,19,34,15,-601.2,8.17,6.49,1.19,8.17,816.75,1431.47,2049111.09,6534.9,726.1,90.76,159.05,25297.67,2049111.09,3,1.752423975,-418.5
Strategy 0.2005,FAILED,GBPJPY_M1_UTC2,9285.3,2716.2,821.13,23,36,50.0,23,36,13,-735.3,8.21,6.52,1.0,8.21,821.13,1328.9,1765971.06,6569.1,729.9,91.24,147.66,21802.11,1765971.06,2,1.618369136,-643.5
Strategy 0.2013,FAILED,GBPJPY_M1_UTC2,10584.9,3054.6,941.25,24,36,58.33,24,36,12,-646.2,9.41,7.27,0.84,9.41,941.25,1280.01,1638414.61,7530.3,836.7,104.59,142.22,20227.34,1638414.61,1,1.35978583,-1904.4
Strategy 0.2053,FAILED,GBPJPY_M1_UTC2,8257.5,2622.6,704.25,22,35,50.0,22,35,13,-418.5,7.04,5.75,1.11,7.04,704.25,1031.05,1063066.5,5634.9,626.1,78.26,114.56,13124.28,1063066.5,2,1.463838487,-1230.3
Strategy 0.2063,FAILED,GBPJPY_M1_UTC2,13030.2,5511.6,939.75,27,40,66.67,27,40,13,24.3,9.4,7.26,0.85,9.4,939.75,689.67,475643.3,7518.6,835.4,104.42,76.63,5872.14,475643.3,0,0.733863245,-3.6
Strategy 0.2078,FAILED,GBPJPY_M1_UTC2,11687.4,3317.4,1046.25,22,35,50.0,22,35,13,-414.0,10.46,7.9,0.93,10.46,1046.25,1362.5,1856407.81,8370.0,930.0,116.25,151.39,22918.62,1856407.81,2,1.30227957,-1547.1
Strategy 0.2138,FAILED,GBPJPY_M1_UTC2,10332.0,2604.6,965.88,25,36,66.67,25,36,11,91.8,9.66,7.42,1.32,9.66,965.88,979.82,960039.29,7727.4,858.6,107.32,108.87,11852.34,960039.29,0,1.014442788,-2358.9
Strategy 0.2141,FAILED,GBPJPY_M1_UTC2,10226.7,3833.1,799.13,19,34,41.67,19,34,15,-798.3,7.99,6.37,0.9,7.99,799.13,1454.55,2115707.4,6393.6,710.4,88.8,161.62,26119.85,2115707.4,3,1.820045045,-348.3
Strategy 0.216,FAILED,GBPJPY_M1_UTC2,10906.2,3851.1,881.88,22,35,41.67,22,35,13,-631.8,8.82,6.9,0.76,8.82,881.88,1264.49,1598936.68,7055.1,783.9,97.99,140.5,19739.96,1598936.68,3,1.433819778,-1834.2
Strategy 0.2167,FAILED,GBPJPY_M1_UTC2,9371.7,4017.6,669.25,26,43,50.0,26,43,17,-241.2,6.69,5.51,0.88,6.69,669.25,905.92,820685.1,5354.1,594.9,74.36,100.66,10131.91,820685.1,2,1.353684777,-1269.0
Strategy 0.225,FAILED,GBPJPY_M1_UTC2,9167.4,2716.2,806.38,21,34,50.0,21,34,13,-735.3,8.06,6.42,0.97,8.06,806.38,1294.16,1674840.86,6451.2,716.8,89.6,143.8,20677.05,1674840.86,2,1.604910714,-723.6
Strategy 0.2263,FAILED,GBPJPY_M1_UTC2,8212.5,2622.6,698.63,22,35,50.0,22,35,13,-418.5,6.99,5.71,1.1,6.99,698.63,1017.47,1035237.94,5589.9,621.1,77.64,113.05,12780.72,1035237.94,2,1.456079341,-1230.3
Strategy 0.235,FAILED,GBPJPY_M1_UTC2,9712.8,3071.7,830.13,24,36,66.67,24,36,12,6.3,8.3,6.57,1.2,8.3,830.13,931.84,868329.3,6641.1,737.9,92.24,103.54,10720.12,868329.3,0,1.122506505,-1906.2
Strategy 0.239,FAILED,GBPJPY_M1_UTC2,10458.9,3515.4,867.88,30,45,58.33,30,45,15,-394.2,8.68,6.81,1.08,8.68,867.88,878.04,770950.5,6943.5,771.5,96.44,97.56,9517.91,770950.5,1,1.011613438,-2617.2
Strategy 0.2390,FAILED,GBPJPY_M1_UTC2,8167.5,2622.6,693.0,22,35,50.0,22,35,13,-418.5,6.93,5.67,1.08,6.93,693.0,1003.92,1007852.34,5544.9,616.1,77.01,111.55,12442.62,1007852.34,2,1.44851318,-1230.3
Strategy 0.2429,FAILED,GBPJPY_M1_UTC2,11142.0,4761.0,797.63,31,50,50.0,31,50,19,-405.0,7.98,6.36,0.73,7.98,797.63,1034.43,1070045.57,6381.0,709.0,88.63,114.94,13210.44,1070045.57,2,1.296852082,-1905.3
Strategy 0.2463,FAILED,GBPJPY_M1_UTC2,10566.9,2978.1,948.5,22,36,50.0,22,36,14,-132.3,9.49,7.31,1.25,9.49,948.5,1130.1,1277133.09,7588.8,843.2,105.4,125.57,15767.08,1277133.09,2,1.191366224,-2209.5
Strategy 0.2465,FAILED,GBPJPY_M1_UTC2,12657.6,5366.7,911.25,28,40,66.67,28,40,12,24.3,9.11,7.08,0.82,9.11,911.25,677.62,459170.78,7290.9,810.1,101.26,75.29,5668.77,459170.78,0,0.743531503,-138.6
Strategy 0.2557,FAILED,GBPJPY_M1_UTC2,9335.7,3517.2,727.25,22,36,50.0,22,36,14,-241.2,7.27,5.9,0.99,7.27,727.25,1015.81,1031877.72,5818.5,646.5,80.81,112.87,12739.23,1031877.72,3,1.396733078,-1136.7
Strategy 0.2574,FAILED,GBPJPY_M1_UTC2,12372.3,4172.4,1024.88,25,37,41.67,25,37,12,-571.5,10.25,7.77,0.9,10.25,1024.88,1428.66,2041081.02,8199.9,911.1,113.89,158.74,25198.53,2041081.02,3,1.393801036,-1503.9
Strategy 0.2621,FAILED,GBPJPY_M1_UTC2,10705.5,3819.6,860.63,23,37,41.67,23,37,14,-909.0,8.61,6.77,0.77,8.61,860.63,1544.66,2385983.59,6885.9,765.1,95.64,171.63,29456.59,2385983.59,3,1.794542033,-324.9
Strategy 0.2665,FAILED,GBPJPY_M1_UTC2,12035.7,5371.2,833.0,31,44,66.67,31,44,13,24.3,8.33,6.59,0.73,8.33,833.0,636.89,405626.33,6664.5,740.5,92.56,70.77,5007.73,405626.33,0,0.764585134,-908.1
Strategy 0.2676,FAILED,GBPJPY_M1_UTC2,10674.9,3564.0,888.75,25,39,58.33,25,39,14,-685.8,8.89,6.94,0.74,8.89,888.75,1241.48,1541270.81,7110.9,790.1,98.76,137.94,19028.03,1541270.81,1,1.39671932,-1818.9
Strategy 0.2700,FAILED,GBPJPY_M1_UTC2,10109.7,3833.1,784.5,19,34,41.67,19,34,15,-798.3,7.85,6.28,0.88,7.85,784.5,1421.21,2019828.46,6276.6,697.4,87.17,157.91,24936.15,2019828.46,3,1.811517724,-348.3
Strategy 0.2726,FAILED,GBPJPY_M1_UTC2,10614.6,4115.7,812.25,23,38,41.67,23,38,15,-909.0,8.12,6.46,0.72,8.12,812.25,1434.24,2057057.75,6498.9,722.1,90.26,159.36,25395.77,2057057.75,3,1.765566142,-289.8
Strategy 0.2799,FAILED,GBPJPY_M1_UTC2,9553.5,2929.5,828.0,20,35,41.67,20,35,15,-601.2,8.28,6.56,1.21,8.28,828.0,1458.52,2127290.04,6624.0,736.0,92.0,162.06,26262.84,2127290.04,3,1.761521739,-418.5
Strategy 0.28,FAILED,GBPJPY_M1_UTC2,10170.0,2930.4,904.88,26,38,66.67,26,38,12,100.8,9.05,7.04,1.15,9.05,904.88,847.74,718668.86,7239.6,804.4,100.55,94.19,8872.45,718668.86,0,0.936747887,-2358.9
Strategy 0.2838,FAILED,GBPJPY_M1_UTC2,9290.7,3517.2,721.63,22,36,50.0,22,36,14,-241.2,7.22,5.86,0.98,7.22,721.63,1002.29,1004590.85,5773.5,641.5,80.19,111.37,12402.36,1004590.85,3,1.388826537,-1136.7
Strategy 0.2848,FAILED,GBPJPY_M1_UTC2,11247.3,4012.2,904.38,25,40,50.0,25,40,15,-669.6,9.04,7.04,0.73,9.04,904.38,1245.3,1550783.74,7235.1,803.9,100.49,138.37,19145.48,1550783.74,2,1.376952931,-1725.3
Strategy 0.2915,FAILED,GBPJPY_M1_UTC2,8025.3,3258.9,595.75,24,42,58.33,24,42,18,-51.3,5.96,4.99,0.72,5.96,595.75,629.86,396719.78,4766.4,529.6,66.2,69.98,4897.78,396719.78,1,1.057099698,-2447.1
Strategy 0.2942,FAILED,GBPJPY_M1_UTC2,9776.7,3833.1,742.88,19,34,41.67,19,34,15,-798.3,7.43,6.0,0.82,7.43,742.88,1327.91,1763332.09,5943.6,660.4,82.55,147.55,21769.53,1763332.09,3,1.787401575,-348.3
Strategy 0.2949,FAILED,GBPJPY_M1_UTC2,12176.1,4437.9,967.25,23,36,41.67,23,36,13,-571.5,9.67,7.43,0.83,9.67,967.25,1305.98,1705572.99,7738.2,859.8,107.47,145.11,21056.46,1705572.99,3,1.350237276,-1476.9
Strategy 0.295,FAILED,GBPJPY_M1_UTC2,9362.7,2657.7,838.13,24,35,66.67,24,35,11,127.8,8.38,6.62,1.08,8.38,838.13,763.49,582920.08,6705.0,745.0,93.13,84.83,7196.54,582920.08,0,0.910877268,-2760.3
Strategy 0.296,FAILED,GBPJPY_M1_UTC2,8635.5,2964.6,708.75,27,42,50.0,27,42,15,-479.7,7.09,5.78,0.76,7.09,708.75,935.68,875488.09,5670.9,630.1,78.76,103.96,10808.49,875488.09,2,1.31995937,-1362.6
Strategy 0.2997,FAILED,GBPJPY_M1_UTC2,10372.5,3819.6,819.0,21,35,41.67,21,35,14,-909.0,8.19,6.5,0.72,8.19,819.0,1449.48,2100987.62,6552.9,728.1,91.01,161.05,25938.12,2100987.62,3,1.76958576,-324.9
Strategy 0.3051,FAILED,GBPJPY_M1_UTC2,11064.6,4116.6,868.5,23,37,41.67,23,37,14,-631.8,8.68,6.82,0.75,8.69,868.5,1236.42,1528739.13,6948.0,772.0,96.5,137.38,18873.32,1528739.13,3,1.423626943,-1906.2
Strategy 0.3091,FAILED,GBPJPY_M1_UTC2,9132.3,3385.8,718.25,23,36,50.0,23,36,13,-241.2,7.18,5.84,0.98,7.18,718.25,994.2,988431.35,5746.5,638.5,79.81,110.47,12202.86,988431.35,3,1.384162386,-1136.7
Strategy 0.3107,FAILED,GBPJPY_M1_UTC2,10673.1,2989.8,960.38,23,36,41.67,23,36,13,-76.5,9.6,7.39,1.2,9.6,960.38,1110.05,1232216.46,7683.3,853.7,106.71,123.34,15212.55,1232216.46,3,1.155842939,-2253.6
Strategy 0.3115,FAILED,GBPJPY_M1_UTC2,8507.7,2819.7,711.0,23,36,50.0,23,36,13,-418.5,7.11,5.79,1.12,7.11,711.0,1047.13,1096473.92,5688.0,632.0,79.0,116.35,13536.72,1096473.92,2,1.47278481,-1230.3
Strategy 0.3127,FAILED,GBPJPY_M1_UTC2,10806.3,3573.9,904.0,23,35,50.0,23,35,12,-513.0,9.04,7.04,0.85,9.04,904.0,1298.88,1687084.2,7232.4,803.6,100.45,144.32,20828.2,1687084.2,2,1.436734694,-1094.4
Strategy 0.3240,FAILED,GBPJPY_M1_UTC2,10051.2,2604.6,930.75,24,35,66.67,24,35,11,91.8,9.31,7.2,1.26,9.31,930.75,895.59,802073.52,7446.6,827.4,103.42,99.51,9902.14,802073.52,0,0.962192999,-2358.9
Strategy 0.3317,FAILED,GBPJPY_M1_UTC2,11359.8,4555.8,850.5,33,49,58.33,33,49,16,-315.9,8.51,6.7,0.81,8.51,850.5,984.7,969627.51,6804.0,756.0,94.5,109.41,11970.71,969627.51,1,1.157777778,-1896.3
Strategy 0.3325,FAILED,GBPJPY_M1_UTC2,11087.1,3851.1,904.5,24,37,41.67,24,37,13,-631.8,9.05,7.04,0.79,9.05,904.5,1312.71,1723203.93,7236.0,804.0,100.5,145.86,21274.12,1723203.93,3,1.451343284,-1996.2
Strategy 0.3373,FAILED,GBPJPY_M1_UTC2,9632.7,2789.1,855.38,24,36,66.67,24,36,12,127.8,8.55,6.73,1.1,8.56,855.38,803.83,646135.98,6843.6,760.4,95.05,89.31,7976.99,646135.98,0,0.939610731,-2760.3
Strategy 0.3443,FAILED,GBPJPY_M1_UTC2,8493.3,2841.3,706.5,21,36,50.0,21,36,15,-147.6,7.06,5.76,0.74,7.07,706.5,775.51,601410.41,5652.0,628.0,78.5,86.17,7424.82,601410.41,2,1.097707006,-2369.7
Strategy 0.3475,FAILED,GBPJPY_M1_UTC2,10509.3,4359.6,768.63,20,36,41.67,20,36,16,-798.3,7.69,6.17,0.85,7.69,768.63,1385.36,1919221.97,6149.7,683.3,85.41,153.93,23694.1,1919221.97,3,1.80224798,-348.3
Strategy 0.348,FAILED,GBPJPY_M1_UTC2,11906.1,4041.9,983.0,24,40,50.0,24,40,16,-477.0,9.83,7.52,0.82,9.83,983.0,1274.83,1625199.32,7864.2,873.8,109.23,141.65,20064.19,1625199.32,2,1.296804907,-1605.6
Strategy 0.3500,FAILED,GBPJPY_M1_UTC2,9019.8,3915.0,638.0,26,43,50.0,26,43,17,-284.4,6.38,5.29,0.83,6.38,638.0,853.34,728191.22,5104.8,567.2,70.9,94.82,8990.02,728191.22,2,1.337376587,-1314.0
Strategy 0.3517,FAILED,GBPJPY_M1_UTC2,12912.3,5119.2,974.13,26,39,50.0,26,39,13,-874.8,9.74,7.47,0.72,9.74,974.13,1541.95,2377595.79,7793.1,865.9,108.24,171.33,29353.03,2377595.79,2,1.582871397,-2288.7
Strategy 0.3538,FAILED,GBPJPY_M1_UTC2,11092.5,3287.7,975.5,24,36,58.33,24,36,12,-581.4,9.76,7.48,0.84,9.76,975.5,1303.78,1699842.07,7804.8,867.2,108.4,144.86,20985.71,1699842.07,1,1.336346863,-1948.5
Strategy 0.3555,FAILED,GBPJPY_M1_UTC2,10437.3,4098.6,792.25,20,36,41.67,20,36,16,-798.3,7.92,6.33,0.89,7.92,792.25,1438.87,2070345.19,6338.7,704.3,88.04,159.87,25559.82,2070345.19,3,1.815879146,-420.3
Strategy 0.3637,FAILED,GBPJPY_M1_UTC2,12133.8,4172.4,995.13,23,35,41.67,23,35,12,-571.5,9.95,7.6,0.86,9.95,995.13,1364.53,1861945.48,7961.4,884.6,110.57,151.61,22986.98,1861945.48,3,1.371167586,-1476.9
Strategy 0.3639,FAILED,GBPJPY_M1_UTC2,8417.7,2819.7,699.75,23,36,50.0,23,36,13,-418.5,7.0,5.71,1.1,7.0,699.75,1019.91,1040214.36,5598.0,622.0,77.75,113.32,12842.15,1040214.36,2,1.457491961,-1230.3
Strategy 0.3640,FAILED,GBPJPY_M1_UTC2,9688.5,3434.4,781.75,26,41,58.33,26,41,15,-304.2,7.82,6.26,0.98,7.82,781.75,808.67,653949.45,6254.1,694.9,86.86,89.85,8073.45,653949.45,1,1.03442321,-2478.6
Strategy 0.3733,FAILED,GBPJPY_M1_UTC2,9699.3,2657.7,880.13,25,36,66.67,25,36,11,127.8,8.8,6.89,1.14,8.8,880.13,862.4,743733.89,7041.6,782.4,97.8,95.82,9181.9,743733.89,0,0.979754601,-2760.3
Strategy 0.3751,FAILED,GBPJPY_M1_UTC2,10581.3,3919.5,832.63,27,45,50.0,27,45,18,-494.1,8.33,6.59,0.91,8.33,832.63,1004.3,1008620.26,6661.8,740.2,92.52,111.59,12452.1,1008620.26,2,1.206117596,-2376.0
Strategy 0.3756,FAILED,GBPJPY_M1_UTC2,11016.0,4136.4,859.88,23,35,41.67,23,35,12,-716.4,8.6,6.76,0.79,8.6,859.88,1294.6,1675999.21,6879.6,764.4,95.55,143.84,20691.35,1675999.21,3,1.505389848,-1024.2
Strategy 0.3789,FAILED,GBPJPY_M1_UTC2,10141.2,3321.0,852.5,26,40,41.67,26,40,14,-306.9,8.53,6.72,0.99,8.52,852.5,1110.95,1234215.16,6820.2,757.8,94.73,123.44,15237.22,1234215.16,3,1.303071889,-2148.3
Strategy 0.3808,FAILED,GBPJPY_M1_UTC2,8610.3,2841.3,721.13,20,35,50.0,20,35,15,-147.6,7.21,5.86,0.76,7.21,721.13,807.91,652714.54,5769.0,641.0,80.12,89.77,8058.2,652714.54,2,1.120444333,-2369.7
Strategy 0.3817,FAILED,GBPJPY_M1_UTC2,12854.7,5119.2,966.88,26,39,50.0,26,39,13,-874.8,9.67,7.43,0.72,9.67,966.88,1558.66,2429426.88,7735.5,859.5,107.44,173.18,29992.92,2429426.88,2,1.611876396,-2243.7
Strategy 0.3828,FAILED,GBPJPY_M1_UTC2,10060.2,3672.0,798.5,23,36,41.67,23,36,13,-445.5,7.99,6.37,1.04,7.99,798.5,1249.65,1561615.56,6388.2,709.8,88.72,138.85,19279.2,1561615.56,3,1.565036069,-630.0
Strategy 0.3830,FAILED,GBPJPY_M1_UTC2,8700.3,2841.3,732.38,20,35,50.0,20,35,15,-147.6,7.32,5.93,0.77,7.32,732.38,833.2,694216.92,5859.0,651.0,81.37,92.58,8570.58,694216.92,2,1.137765761,-2369.7
Strategy 0.3838,FAILED,GBPJPY_M1_UTC2,9956.7,2604.6,919.0,25,36,66.67,25,36,11,91.8,9.19,7.13,1.24,9.19,919.0,873.13,762350.83,7352.1,816.9,102.11,97.01,9411.74,762350.83,0,0.950053863,-2358.9
Strategy 0.3954,FAILED,GBPJPY_M1_UTC2,11408.4,3942.9,933.13,25,40,50.0,25,40,15,-714.6,9.33,7.22,0.76,9.33,933.13,1338.86,1792557.38,7465.5,829.5,103.69,148.76,22130.34,1792557.38,2,1.434661009,-1815.3
Strategy 0.3955,FAILED,GBPJPY_M1_UTC2,11426.4,2949.3,1059.63,22,36,58.33,22,36,14,-225.0,10.6,7.98,1.4,10.6,1059.63,1246.65,1554132.15,8477.1,941.9,117.74,138.52,19186.82,1554132.15,1,1.176490572,-1852.2
Strategy 0.3971,FAILED,GBPJPY_M1_UTC2,10779.3,3573.9,900.63,24,36,50.0,24,36,12,-513.0,9.01,7.02,0.85,9.01,900.63,1290.91,1666451.22,7205.4,800.6,100.08,143.43,20573.47,1666451.22,2,1.433153477,-1094.4
Strategy 0.3975,FAILED,GBPJPY_M1_UTC2,10521.9,2978.1,942.88,22,36,50.0,22,36,14,-132.3,9.43,7.28,1.24,9.43,942.88,1117.06,1247819.95,7543.8,838.2,104.78,124.12,15405.18,1247819.95,2,1.184577209,-2209.5
Strategy 0.3987,FAILED,GBPJPY_M1_UTC2,9968.4,3225.6,842.75,21,37,41.67,21,37,16,-601.2,8.43,6.65,1.24,8.43,842.75,1494.73,2234230.12,6742.8,749.2,93.65,166.08,27583.09,2234230.12,3,1.773411639,-338.4
Strategy 0.4012,FAILED,GBPJPY_M1_UTC2,9446.4,4267.8,647.25,24,40,41.67,24,40,16,-241.2,6.47,5.35,0.86,6.47,647.25,884.28,781946.0,5178.6,575.4,71.93,98.25,9653.65,781946.0,3,1.365911303,-1134.0
Strategy 0.4025,FAILED,GBPJPY_M1_UTC2,10354.5,3819.6,816.75,22,36,41.67,22,36,14,-909.0,8.17,6.49,0.72,8.17,816.75,1444.39,2086273.46,6534.9,726.1,90.76,160.49,25756.46,2086273.46,3,1.768289996,-324.9
Strategy 0.4050,FAILED,GBPJPY_M1_UTC2,11335.5,3287.7,1005.88,25,37,58.33,25,37,12,-581.4,10.06,7.66,0.87,10.06,1005.88,1372.39,1883447.56,8047.8,894.2,111.78,152.49,23252.44,1883447.56,1,1.364197531,-1891.8
Strategy 0.4052,FAILED,GBPJPY_M1_UTC2,12252.6,5366.7,860.63,28,40,66.67,28,40,12,24.3,8.61,6.77,0.79,8.61,860.63,694.89,482878.47,6885.9,765.1,95.64,77.21,5961.46,482878.47,0,0.807298202,-281.7
Strategy 0.4064,FAILED,GBPJPY_M1_UTC2,9609.3,2657.7,868.88,25,36,66.67,25,36,11,127.8,8.69,6.82,1.13,8.69,868.88,835.65,698308.08,6951.6,772.4,96.55,92.85,8621.09,698308.08,0,0.961677887,-2760.3
Strategy 0.4096,FAILED,GBPJPY_M1_UTC2,11006.1,4700.7,788.13,23,42,50.0,23,42,19,-798.3,7.88,6.3,0.88,7.88,788.13,1406.62,1978576.81,6305.4,700.6,87.57,156.29,24426.87,1978576.81,2,1.784743634,-345.6
Strategy 0.4158,FAILED,GBPJPY_M1_UTC2,12502.8,5023.8,934.88,26,38,66.67,26,38,12,24.3,9.35,7.23,0.84,9.35,934.88,675.36,456112.98,7479.0,831.0,103.87,75.04,5631.02,456112.98,0,0.722441513,401.4
Strategy 0.4177,FAILED,GBPJPY_M1_UTC2,11214.0,4619.7,824.25,25,38,66.67,25,38,13,228.6,8.24,6.54,0.75,8.24,824.25,413.44,170930.75,6594.3,732.7,91.59,45.94,2110.26,170930.75,0,0.501583142,-195.3
Strategy 0.4220,FAILED,GBPJPY_M1_UTC2,10257.3,4098.6,769.75,20,36,41.67,20,36,16,-798.3,7.7,6.18,0.86,7.7,769.75,1387.89,1926241.13,6158.7,684.3,85.54,154.21,23780.76,1926241.13,3,1.802782324,-510.3
Strategy 0.4234,FAILED,GBPJPY_M1_UTC2,11351.7,3094.2,1032.13,22,37,58.33,22,37,15,-225.0,10.32,7.82,1.19,10.32,1032.13,1207.27,1457507.57,8257.5,917.5,114.69,134.14,17993.92,1457507.57,1,1.169587584,-1852.2
Strategy 0.4275,FAILED,GBPJPY_M1_UTC2,11361.6,3357.9,1000.38,24,39,58.33,24,39,15,-261.0,10.0,7.63,0.99,10.01,1000.38,1133.21,1284169.11,8003.7,889.3,111.16,125.91,15853.94,1284169.11,1,1.132691616,-1772.1
Strategy 0.4291,FAILED,GBPJPY_M1_UTC2,10434.6,3241.8,899.0,22,36,58.33,22,36,14,-198.0,8.99,7.01,1.29,8.99,899.0,1132.41,1282360.79,7192.8,799.2,99.9,125.82,15831.62,1282360.79,1,1.259459459,-1399.5
Strategy 0.4306,FAILED,GBPJPY_M1_UTC2,8898.3,2841.3,757.13,21,36,50.0,21,36,15,-147.6,7.57,6.1,0.8,7.57,757.13,889.81,791759.14,6057.0,673.0,84.12,98.87,9774.8,791759.14,2,1.175344746,-2369.7
Strategy 0.4328,FAILED,GBPJPY_M1_UTC2,10996.2,4136.4,857.38,23,35,41.67,23,35,12,-716.4,8.57,6.75,0.79,8.57,857.38,1289.19,1662002.12,6859.8,762.2,95.27,143.24,20518.54,1662002.12,3,1.503516322,-1024.2
Strategy 0.4341,FAILED,GBPJPY_M1_UTC2,10895.4,3573.9,915.13,24,36,50.0,24,36,12,-513.0,9.15,7.11,0.87,9.15,915.13,1325.26,1756304.44,7321.5,813.5,101.69,147.25,21682.77,1756304.44,2,1.448028321,-1094.4
Strategy 0.4351,FAILED,GBPJPY_M1_UTC2,12634.2,6380.1,781.75,32,50,41.67,32,50,18,-654.3,7.82,6.26,0.8,7.82,781.75,1020.97,1042376.23,6254.1,694.9,86.86,113.44,12868.84,1042376.23,3,1.306009671,-2035.8
Strategy 0.4377,FAILED,GBPJPY_M1_UTC2,8880.3,2841.3,754.88,20,35,50.0,20,35,15,-147.6,7.55,6.08,0.8,7.55,754.88,884.61,782537.29,6039.0,671.0,83.87,98.29,9660.95,782537.29,2,1.171932753,-2369.7
Strategy 0.444,FAILED,GBPJPY_M1_UTC2,11215.8,4401.9,851.63,23,36,41.67,23,36,13,-716.4,8.52,6.71,0.78,8.52,851.63,1276.67,1629884.23,6813.9,757.1,94.64,141.85,20122.03,1629884.23,3,1.498837701,-1024.2
Strategy 0.4452,FAILED,GBPJPY_M1_UTC2,7323.3,3140.1,522.88,21,40,50.0,21,40,19,-135.0,5.23,4.47,1.01,5.23,522.88,777.31,604212.41,4183.2,464.8,58.1,86.37,7459.41,604212.41,2,1.486574871,-1170.9
Strategy 0.4474,FAILED,GBPJPY_M1_UTC2,10807.2,3852.9,869.25,26,41,41.67,26,41,15,-332.1,8.69,6.82,0.94,8.69,869.25,1220.46,1489529.53,6954.3,772.7,96.59,135.61,18389.25,1489529.53,3,1.403975567,-1351.8
Strategy 0.4489,FAILED,GBPJPY_M1_UTC2,9640.8,4040.1,700.0,23,38,50.0,23,38,15,-241.2,7.0,5.72,0.95,7.0,700.0,950.22,902927.34,5600.7,622.3,77.79,105.58,11147.25,902927.34,2,1.357243862,-999.0
Strategy 0.4492,FAILED,GBPJPY_M1_UTC2,11687.4,4388.4,912.38,27,45,50.0,27,45,18,-468.9,9.12,7.09,0.79,9.12,912.38,1280.37,1639350.42,7299.0,811.0,101.37,142.26,20238.89,1639350.42,2,1.403373779,-1621.8
Strategy 0.4587,FAILED,GBPJPY_M1_UTC2,11080.8,3321.0,969.88,23,37,50.0,23,37,14,-36.9,9.7,7.44,1.14,9.7,969.88,1133.3,1284367.94,7759.8,862.2,107.78,125.92,15856.39,1284367.94,2,1.168305808,-2209.5
Strategy 0.4598,FAILED,GBPJPY_M1_UTC2,10427.4,3855.6,821.38,28,46,50.0,28,46,18,-539.1,8.21,6.52,0.89,8.22,821.38,928.97,862978.01,6571.8,730.2,91.28,103.22,10654.05,862978.01,2,1.13080631,-2411.1
