Strategy name,Symbol,% Profitable Months (IS),# of profits (IS),# of trades (IS),# of losses (IS),Annual % Return (IS),CAGR (IS),CalmarRatio (IS),Avg. % Profit Per Year (IS),Net profit in pips (IS),Avg. Yearly Profit In Pips (IS),Standard Deviation of Yearly Profit In Pips (IS),Count Of Losing Years (IS),Coefficient of Variation,Net profit (OOS),Filters result
Strategy 0.1773,USDCAD_M1_UTC2,63.64,22,35,13,7.97,6.36,0.8,7.97,849.7,106.21,80.47,1,0.757649939,317.25,PASSED
Strategy 0.1781,USDCAD_M1_UTC2,63.64,20,35,15,7.73,6.2,0.82,7.73,824.1,103.01,82.9,1,0.804776235,377.25,PASSED
Strategy 0.18,USDCAD_M1_UTC2,72.73,21,35,14,7.67,6.16,1.4,7.67,818.0,102.25,65.03,0,0.63599022,247.5,PASSED
Strategy 0.1817,USDCAD_M1_UTC2,63.64,20,34,14,7.63,6.14,0.81,7.63,814.0,101.75,81.2,1,0.798034398,377.25,PASSED
Strategy 0.1834,USDCAD_M1_UTC2,54.55,19,34,15,6.15,5.13,0.73,6.16,656.5,82.06,87.8,2,1.069948818,396.75,PASSED
Strategy 0.1874,USDCAD_M1_UTC2,63.64,23,37,14,8.13,6.46,0.85,8.13,866.8,108.35,80.95,1,0.747115828,414.75,PASSED
Strategy 0.1879,USDCAD_M1_UTC2,54.55,17,34,17,6.21,5.17,1.03,6.22,662.9,82.86,82.48,2,0.995413951,505.5,PASSED
Strategy 0.1926,USDCAD_M1_UTC2,63.64,20,34,13,7.47,6.03,0.84,7.47,796.8,99.6,85.48,1,0.858232932,437.25,PASSED
Strategy 0.1931,USDCAD_M1_UTC2,63.64,28,45,17,5.59,4.73,1.05,5.59,595.8,74.48,58.84,1,0.790010741,313.5,PASSED
Strategy 0.1978,USDCAD_M1_UTC2,72.73,27,42,15,7.83,6.27,1.42,7.83,835.3,104.41,49.62,0,0.475241835,247.5,PASSED
Strategy 0.1992,USDCAD_M1_UTC2,63.64,23,34,11,6.81,5.59,1.05,6.81,726.3,90.79,76.29,1,0.840290781,-211.5,FAILED
Strategy 0.1996,USDCAD_M1_UTC2,63.64,22,37,15,7.76,6.22,0.85,7.76,827.5,103.44,79.83,1,0.77175174,377.25,PASSED
Strategy 0.2037,USDCAD_M1_UTC2,54.55,21,37,16,6.13,5.11,0.89,6.13,653.7,81.71,72.18,2,0.883368009,483.0,PASSED
Strategy 0.2086,USDCAD_M1_UTC2,72.73,22,35,13,7.6,6.12,1.38,7.6,810.6,101.32,63.07,0,0.622483221,247.5,PASSED
Strategy 0.2152,USDCAD_M1_UTC2,54.55,22,40,18,6.15,5.13,0.8,6.15,656.4,82.05,80.22,2,0.977696527,420.0,PASSED
Strategy 0.2184,USDCAD_M1_UTC2,63.64,19,36,17,7.84,6.27,1.14,7.84,836.0,104.5,80.8,1,0.773205742,373.5,PASSED
Strategy 0.2194,USDCAD_M1_UTC2,54.55,26,41,15,6.75,5.55,0.72,6.75,720.4,90.05,85.22,2,0.946363132,461.25,PASSED
Strategy 0.2207,USDCAD_M1_UTC2,54.55,29,47,18,6.09,5.09,0.81,6.09,649.9,81.24,74.49,2,0.916912851,420.0,PASSED
Strategy 0.2211,USDCAD_M1_UTC2,63.64,22,34,12,7.42,6.0,0.72,7.43,792.0,99.0,87.79,1,0.886767677,286.5,PASSED
Strategy 0.2225,USDCAD_M1_UTC2,54.55,25,44,19,5.97,5.0,1.0,5.97,636.4,79.55,69.23,2,0.87027027,505.5,PASSED
Strategy 0.240,USDCAD_M1_UTC2,63.64,24,40,16,6.4,5.3,0.73,6.4,682.6,85.33,83.0,1,0.972694246,432.75,PASSED
Strategy 0.2417,USDCAD_M1_UTC2,63.64,21,36,15,6.4,5.3,1.36,6.4,682.7,85.34,63.05,1,0.738809468,294.0,PASSED
Strategy 0.2419,USDCAD_M1_UTC2,63.64,23,35,12,6.7,5.51,1.03,6.7,714.3,89.29,73.46,1,0.82271251,-211.5,FAILED
Strategy 0.2436,USDCAD_M1_UTC2,54.55,21,34,13,6.83,5.6,1.23,6.83,729.0,91.13,80.85,2,0.887194118,375.75,PASSED
Strategy 0.2461,USDCAD_M1_UTC2,54.55,21,37,16,6.13,5.11,0.71,6.13,653.7,81.71,83.86,2,1.026312569,432.75,PASSED
Strategy 0.2468,USDCAD_M1_UTC2,63.64,23,37,14,7.52,6.06,0.83,7.52,802.2,100.27,75.63,1,0.754263489,386.25,PASSED
Strategy 0.247,USDCAD_M1_UTC2,63.64,22,34,12,5.15,4.41,0.75,5.15,549.1,68.64,65.29,1,0.951194639,-79.5,FAILED
Strategy 0.2471,USDCAD_M1_UTC2,54.55,22,37,15,6.12,5.11,0.73,6.12,653.2,81.65,86.18,2,1.05548071,417.75,PASSED
Strategy 0.2477,USDCAD_M1_UTC2,63.64,21,35,14,8.13,6.46,1.27,8.13,867.1,108.39,74.94,1,0.691392195,351.0,PASSED
Strategy 0.2482,USDCAD_M1_UTC2,54.55,21,34,12,5.56,4.71,0.84,5.56,593.5,74.19,81.06,2,1.092600081,-204.0,FAILED
Strategy 0.2483,USDCAD_M1_UTC2,72.73,21,35,14,7.5,6.05,1.45,7.5,799.7,99.96,76.95,0,0.769807923,267.0,PASSED
Strategy 0.2490,USDCAD_M1_UTC2,54.55,18,34,15,6.29,5.23,1.58,6.29,670.8,83.85,72.98,2,0.870363745,461.25,PASSED
Strategy 0.2500,USDCAD_M1_UTC2,63.64,22,34,12,7.82,6.26,0.78,7.82,834.0,104.25,77.83,1,0.746570743,317.25,PASSED
Strategy 0.2536,USDCAD_M1_UTC2,54.55,20,37,17,5.78,4.86,0.95,5.78,616.4,77.05,75.56,2,0.980661908,505.5,PASSED
Strategy 0.2545,USDCAD_M1_UTC2,54.55,21,37,16,6.04,5.05,0.79,6.04,644.6,80.58,79.65,2,0.988458675,420.0,PASSED
Strategy 0.2584,USDCAD_M1_UTC2,54.55,19,35,15,6.32,5.25,1.6,6.32,674.6,84.33,73.78,2,0.874896241,461.25,PASSED
Strategy 0.2595,USDCAD_M1_UTC2,63.64,26,43,17,8.46,6.67,0.84,8.46,902.3,112.79,83.32,1,0.738717971,317.25,PASSED
Strategy 0.2605,USDCAD_M1_UTC2,63.64,25,39,14,6.71,5.52,1.3,6.71,715.5,89.44,61.61,1,0.688841682,294.0,PASSED
Strategy 0.2625,USDCAD_M1_UTC2,63.64,24,39,15,7.41,5.99,0.74,7.41,790.4,98.8,83.27,1,0.842813765,286.5,PASSED
Strategy 0.2626,USDCAD_M1_UTC2,54.55,18,34,16,6.13,5.11,0.88,6.13,653.5,81.69,71.12,2,0.870608398,483.0,PASSED
Strategy 0.2628,USDCAD_M1_UTC2,72.73,21,34,13,7.37,5.96,1.42,7.37,785.8,98.23,73.39,0,0.747124097,267.0,PASSED
Strategy 0.2640,USDCAD_M1_UTC2,63.64,26,47,21,7.47,6.03,1.07,7.47,797.2,99.65,66.52,1,0.667536377,373.5,PASSED
Strategy 0.2655,USDCAD_M1_UTC2,72.73,22,36,14,7.86,6.29,1.39,7.86,838.8,104.85,68.42,0,0.652551264,329.25,PASSED
Strategy 0.266,USDCAD_M1_UTC2,54.55,18,34,16,6.18,5.15,0.89,6.18,659.6,82.45,72.06,2,0.873984233,483.0,PASSED
Strategy 0.2672,USDCAD_M1_UTC2,63.64,25,41,16,7.69,6.17,1.17,7.69,820.0,102.5,68.28,1,0.666146341,351.0,PASSED
Strategy 0.2701,USDCAD_M1_UTC2,63.64,20,36,16,6.97,5.69,0.86,6.97,743.1,92.89,77.15,1,0.830552266,350.25,PASSED
Strategy 0.2720,USDCAD_M1_UTC2,72.73,21,35,14,8.25,6.54,1.48,8.25,880.2,110.02,78.96,0,0.717687693,329.25,PASSED
Strategy 0.2722,USDCAD_M1_UTC2,72.73,26,46,20,8.05,6.41,1.41,8.05,858.7,107.34,59.33,0,0.552729644,329.25,PASSED
Strategy 0.2793,USDCAD_M1_UTC2,54.55,21,35,13,5.74,4.84,0.87,5.74,612.2,76.53,85.36,2,1.11537959,-204.0,FAILED
Strategy 0.2873,USDCAD_M1_UTC2,54.55,20,34,14,6.73,5.53,1.02,6.73,717.8,89.72,79.4,2,0.884975479,397.5,PASSED
Strategy 0.2887,USDCAD_M1_UTC2,63.64,20,36,16,7.86,6.29,0.81,7.86,838.4,104.8,84.52,1,0.80648855,414.75,PASSED
Strategy 0.2888,USDCAD_M1_UTC2,63.64,23,37,14,7.83,6.27,1.23,7.83,835.5,104.44,67.66,1,0.647836078,351.0,PASSED
Strategy 0.2903,USDCAD_M1_UTC2,54.55,19,36,17,5.78,4.87,0.84,5.78,616.5,77.06,69.11,2,0.896833636,483.0,PASSED
Strategy 0.2916,USDCAD_M1_UTC2,54.55,20,36,16,5.19,4.44,0.95,5.19,553.5,69.19,67.66,2,0.977886978,399.0,PASSED
Strategy 0.2920,USDCAD_M1_UTC2,54.55,17,34,17,6.0,5.02,0.99,6.0,639.7,79.96,78.9,2,0.986743372,505.5,PASSED
Strategy 0.2978,USDCAD_M1_UTC2,63.64,21,35,14,7.47,6.03,0.8,7.47,797.3,99.66,81.9,1,0.8217941,386.25,PASSED
Strategy 0.3036,USDCAD_M1_UTC2,63.64,22,35,13,7.62,6.13,0.74,7.62,812.6,101.57,91.32,1,0.899084375,286.5,PASSED
Strategy 0.3099,USDCAD_M1_UTC2,54.55,25,43,18,6.63,5.47,0.93,6.63,707.5,88.44,76.99,2,0.870533695,483.0,PASSED
Strategy 0.315,USDCAD_M1_UTC2,63.64,22,34,12,5.04,4.33,0.73,5.05,538.1,67.26,62.56,1,0.930121915,-79.5,FAILED
Strategy 0.3160,USDCAD_M1_UTC2,63.64,24,41,16,7.02,5.73,0.81,7.02,749.2,93.65,80.74,1,0.862146289,437.25,PASSED
Strategy 0.3178,USDCAD_M1_UTC2,72.73,22,35,13,7.53,6.07,1.5,7.53,803.4,100.42,69.11,0,0.68820952,155.25,PASSED
Strategy 0.3186,USDCAD_M1_UTC2,63.64,21,34,13,7.95,6.35,1.23,7.95,847.8,105.97,70.84,1,0.668491082,351.0,PASSED
Strategy 0.3209,USDCAD_M1_UTC2,72.73,27,47,20,7.46,6.02,1.31,7.46,795.8,99.47,52.81,0,0.530913843,329.25,PASSED
Strategy 0.3226,USDCAD_M1_UTC2,72.73,22,36,14,7.77,6.23,1.38,7.77,828.8,103.6,67.11,0,0.647779923,329.25,PASSED
Strategy 0.3242,USDCAD_M1_UTC2,54.55,19,34,15,6.2,5.16,0.72,6.2,661.2,82.65,90.94,2,1.10030248,417.75,PASSED
Strategy 0.3258,USDCAD_M1_UTC2,54.55,21,36,15,6.46,5.34,0.97,6.46,688.7,86.09,74.74,2,0.868161227,397.5,PASSED
Strategy 0.3291,USDCAD_M1_UTC2,54.55,22,36,14,6.74,5.54,1.21,6.74,718.8,89.85,77.27,2,0.85998887,375.75,PASSED
Strategy 0.332,USDCAD_M1_UTC2,63.64,24,38,14,5.2,4.44,0.83,5.2,554.5,69.31,72.34,1,1.043716635,-165.0,FAILED
Strategy 0.3328,USDCAD_M1_UTC2,63.64,20,35,15,7.92,6.33,0.81,7.92,845.0,105.63,85.77,1,0.811985231,414.75,PASSED
Strategy 0.3366,USDCAD_M1_UTC2,63.64,24,43,19,6.71,5.52,0.96,6.71,716.0,89.5,67.01,1,0.748715084,373.5,PASSED
Strategy 0.3370,USDCAD_M1_UTC2,63.64,22,36,14,7.83,6.27,1.22,7.82,834.7,104.34,70.16,1,0.672417098,351.0,PASSED
Strategy 0.3399,USDCAD_M1_UTC2,54.55,24,38,14,6.64,5.47,1.0,6.64,708.8,88.6,79.73,2,0.899887133,397.5,PASSED
Strategy 0.3400,USDCAD_M1_UTC2,63.64,23,35,12,4.99,4.29,0.72,4.99,532.1,66.51,61.12,1,0.918959555,-79.5,FAILED
Strategy 0.3404,USDCAD_M1_UTC2,72.73,26,41,15,7.54,6.08,1.4,7.54,804.5,100.56,50.34,0,0.500596659,247.5,PASSED
Strategy 0.3531,USDCAD_M1_UTC2,54.55,25,42,17,6.46,5.34,1.18,6.46,688.7,86.09,70.42,2,0.817981182,313.5,PASSED
Strategy 0.3552,USDCAD_M1_UTC2,54.55,19,35,16,5.95,4.99,1.08,5.95,634.7,79.34,75.01,2,0.945424754,313.5,PASSED
Strategy 0.3644,USDCAD_M1_UTC2,54.55,19,35,16,6.64,5.47,0.88,6.64,708.1,88.51,86.7,2,0.979550333,420.0,PASSED
Strategy 0.3653,USDCAD_M1_UTC2,63.64,24,38,14,7.3,5.92,0.75,7.3,778.6,97.32,68.16,1,0.700369914,317.25,PASSED
Strategy 0.366,USDCAD_M1_UTC2,54.55,29,45,16,6.13,5.12,0.71,6.13,654.3,81.79,80.55,2,0.984839222,417.75,PASSED
Strategy 0.3665,USDCAD_M1_UTC2,54.55,19,36,17,5.96,5.0,0.78,5.96,636.0,79.5,78.77,2,0.99081761,420.0,PASSED
Strategy 0.3690,USDCAD_M1_UTC2,63.64,21,35,14,7.76,6.22,0.83,7.76,827.3,103.41,86.69,1,0.838313509,386.25,PASSED
Strategy 0.3694,USDCAD_M1_UTC2,63.64,28,45,17,7.3,5.91,0.89,7.3,778.2,97.28,72.06,1,0.740748355,350.25,PASSED
Strategy 0.3720,USDCAD_M1_UTC2,63.64,26,39,13,5.96,5.0,1.07,5.96,635.9,79.49,53.39,1,0.671656812,672.0,PASSED
Strategy 0.3726,USDCAD_M1_UTC2,72.73,21,34,13,5.73,4.83,0.91,5.72,610.7,76.34,73.82,0,0.966989783,-165.0,FAILED
Strategy 0.374,USDCAD_M1_UTC2,63.64,29,46,17,7.77,6.23,0.81,7.77,828.4,103.55,69.5,1,0.671173346,377.25,PASSED
Strategy 0.3750,USDCAD_M1_UTC2,54.55,17,35,18,6.1,5.09,1.01,6.1,650.8,81.35,79.99,2,0.983282114,505.5,PASSED
Strategy 0.3752,USDCAD_M1_UTC2,72.73,25,38,13,7.31,5.92,1.47,7.31,779.6,97.45,62.86,0,0.645048743,155.25,PASSED
Strategy 0.379,USDCAD_M1_UTC2,63.64,21,35,14,7.62,6.13,0.82,7.61,812.3,101.54,84.18,1,0.829032893,386.25,PASSED
Strategy 0.3802,USDCAD_M1_UTC2,72.73,21,34,13,7.59,6.11,1.38,7.59,809.2,101.15,62.7,0,0.619871478,247.5,PASSED
Strategy 0.3926,USDCAD_M1_UTC2,54.55,32,50,18,6.08,5.08,0.91,6.08,648.5,81.06,73.83,2,0.91080681,397.5,PASSED
Strategy 0.3944,USDCAD_M1_UTC2,63.64,22,35,13,7.56,6.09,0.76,7.56,806.3,100.79,73.83,1,0.732513146,317.25,PASSED
Strategy 0.3988,USDCAD_M1_UTC2,54.55,18,34,15,6.16,5.13,1.55,6.16,656.6,82.08,70.09,2,0.853923002,461.25,PASSED
Strategy 0.3995,USDCAD_M1_UTC2,63.64,24,37,13,6.27,5.21,1.11,6.27,669.0,83.62,75.87,1,0.907318823,201.75,PASSED
Strategy 0.4031,USDCAD_M1_UTC2,63.64,20,34,14,5.82,4.9,1.11,5.82,621.0,77.63,57.65,1,0.742625274,379.5,PASSED
Strategy 0.4044,USDCAD_M1_UTC2,63.64,23,36,13,7.47,6.03,0.73,7.47,796.5,99.56,88.22,1,0.886098835,286.5,PASSED
Strategy 0.4049,USDCAD_M1_UTC2,63.64,23,38,15,7.53,6.07,0.79,7.53,803.7,100.46,78.61,1,0.782500498,414.75,PASSED
Strategy 0.4052,USDCAD_M1_UTC2,54.55,21,35,14,6.74,5.54,1.02,6.74,718.7,89.84,79.55,2,0.885463045,397.5,PASSED
Strategy 0.4063,USDCAD_M1_UTC2,72.73,23,37,14,8.0,6.38,1.44,8.0,853.3,106.66,66.89,0,0.627132946,329.25,PASSED
Strategy 0.4084,USDCAD_M1_UTC2,54.55,27,42,15,6.18,5.15,0.72,6.18,659.6,82.45,84.83,2,1.028865979,417.75,PASSED
Strategy 0.4130,USDCAD_M1_UTC2,63.64,21,35,14,7.29,5.91,0.79,7.29,777.3,97.16,79.25,1,0.815664883,386.25,PASSED
Strategy 0.4145,USDCAD_M1_UTC2,63.64,20,34,14,7.81,6.25,0.8,7.81,832.7,104.09,83.83,1,0.805360746,414.75,PASSED
Strategy 0.4166,USDCAD_M1_UTC2,54.55,20,34,14,6.94,5.67,1.06,6.94,740.1,92.51,83.54,2,0.903037509,397.5,PASSED
Strategy 0.4192,USDCAD_M1_UTC2,63.64,22,34,12,5.35,4.56,0.88,5.35,571.0,71.38,49.97,1,0.700056038,672.0,PASSED
Strategy 0.4206,USDCAD_M1_UTC2,54.55,17,35,18,5.63,4.76,0.92,5.63,600.8,75.1,74.85,2,0.996671105,505.5,PASSED
Strategy 0.4223,USDCAD_M1_UTC2,54.55,24,40,16,5.43,4.61,1.06,5.43,579.3,72.41,58.56,2,0.808728076,399.0,PASSED
Strategy 0.4228,USDCAD_M1_UTC2,63.64,24,39,15,7.89,6.31,1.23,7.89,841.3,105.16,70.57,1,0.671072651,351.0,PASSED
Strategy 0.4240,USDCAD_M1_UTC2,54.55,21,37,16,5.99,5.01,0.71,5.99,638.8,79.85,86.77,2,1.086662492,417.75,PASSED
Strategy 0.4276,USDCAD_M1_UTC2,72.73,22,35,13,8.04,6.41,1.44,8.04,857.8,107.22,73.23,0,0.682988248,329.25,PASSED
Strategy 0.4284,USDCAD_M1_UTC2,63.64,23,35,12,6.51,5.38,1.0,6.51,694.3,86.79,69.01,1,0.795137689,-211.5,FAILED
Strategy 0.4294,USDCAD_M1_UTC2,54.55,23,39,16,6.11,5.1,1.11,6.11,651.7,81.46,74.1,2,0.909648907,313.5,PASSED
Strategy 0.430,USDCAD_M1_UTC2,63.64,22,34,12,5.41,4.6,0.89,5.41,577.0,72.13,53.17,1,0.737141273,672.0,PASSED
Strategy 0.4316,USDCAD_M1_UTC2,54.55,20,36,16,5.0,4.3,0.92,5.0,533.5,66.69,66.27,2,0.993702204,399.0,PASSED
Strategy 0.4346,USDCAD_M1_UTC2,63.64,20,36,16,7.34,5.95,0.9,7.34,783.1,97.89,82.51,1,0.842884871,350.25,PASSED
Strategy 0.4374,USDCAD_M1_UTC2,63.64,22,37,15,7.62,6.13,0.83,7.62,812.5,101.56,78.34,1,0.77136668,377.25,PASSED
Strategy 0.4377,USDCAD_M1_UTC2,63.64,27,42,15,5.95,4.99,0.91,5.95,634.8,79.35,62.32,1,0.785381222,-211.5,FAILED
Strategy 0.4382,USDCAD_M1_UTC2,72.73,22,34,12,7.44,6.01,1.48,7.44,794.0,99.25,66.58,0,0.670831234,155.25,PASSED
Strategy 0.4409,USDCAD_M1_UTC2,72.73,21,35,14,7.7,6.19,1.36,7.7,821.8,102.72,64.74,0,0.630257009,329.25,PASSED
Strategy 0.4429,USDCAD_M1_UTC2,63.64,25,39,14,6.38,5.29,1.23,6.38,680.5,85.06,58.33,1,0.685751234,294.0,PASSED
Strategy 0.4441,USDCAD_M1_UTC2,54.55,21,35,14,6.75,5.55,0.72,6.75,720.0,90.0,90.28,2,1.003111111,461.25,PASSED
Strategy 0.4485,USDCAD_M1_UTC2,63.64,25,38,13,6.98,5.7,1.1,6.98,744.5,93.06,83.39,1,0.896088545,-211.5,FAILED
Strategy 0.4490,USDCAD_M1_UTC2,54.55,22,40,18,5.47,4.64,0.89,5.47,583.3,72.91,68.4,2,0.938142916,505.5,PASSED
Strategy 0.4497,USDCAD_M1_UTC2,63.64,29,43,14,5.13,4.39,0.81,5.13,546.8,68.35,57.52,1,0.841550841,-165.0,FAILED
Strategy 0.4535,USDCAD_M1_UTC2,72.73,21,35,14,7.48,6.04,1.45,7.48,798.1,99.76,76.53,0,0.767141139,267.0,PASSED
Strategy 0.4548,USDCAD_M1_UTC2,54.55,20,37,17,6.06,5.07,1.0,6.06,646.4,80.8,78.05,2,0.965965347,505.5,PASSED
Strategy 0.4573,USDCAD_M1_UTC2,72.73,21,34,13,5.77,4.86,0.92,5.77,615.7,76.96,75.14,0,0.976351351,-165.0,FAILED
Strategy 0.4606,USDCAD_M1_UTC2,63.64,24,41,17,6.97,5.69,0.73,6.97,743.0,92.88,77.19,1,0.831072351,414.75,PASSED
Strategy 0.4612,USDCAD_M1_UTC2,63.64,23,38,15,6.86,5.62,0.86,6.86,731.7,91.46,76.58,1,0.837305926,350.25,PASSED
Strategy 0.4625,USDCAD_M1_UTC2,63.64,23,37,14,7.59,6.11,0.95,7.59,809.8,101.23,83.09,1,0.820804109,350.25,PASSED
Strategy 0.4655,USDCAD_M1_UTC2,72.73,23,36,13,7.41,5.99,1.47,7.41,790.6,98.82,65.33,0,0.661100992,155.25,PASSED
Strategy 0.4690,USDCAD_M1_UTC2,72.73,22,35,13,7.3,5.92,1.44,7.3,778.4,97.3,62.49,0,0.642240493,155.25,PASSED
Strategy 0.4772,USDCAD_M1_UTC2,63.64,25,41,16,7.3,5.92,0.76,7.3,778.3,97.29,83.45,1,0.857744886,363.75,PASSED
Strategy 0.4780,USDCAD_M1_UTC2,54.55,18,34,16,6.34,5.26,1.16,6.34,676.1,84.51,84.33,2,0.997870075,313.5,PASSED
Strategy 0.4830,USDCAD_M1_UTC2,54.55,23,39,15,5.48,4.65,0.82,5.48,584.9,73.11,77.97,2,1.066475174,-204.0,FAILED
Strategy 0.4840,USDCAD_M1_UTC2,72.73,21,35,14,7.54,6.08,1.37,7.54,804.6,100.57,61.51,0,0.611613801,247.5,PASSED
Strategy 0.4862,USDCAD_M1_UTC2,54.55,20,36,16,5.56,4.71,1.02,5.56,593.5,74.19,71.13,2,0.958754549,399.0,PASSED
Strategy 0.4882,USDCAD_M1_UTC2,63.64,26,43,17,8.04,6.4,0.81,8.04,857.3,107.16,79.76,1,0.744307577,317.25,PASSED
Strategy 0.4888,USDCAD_M1_UTC2,63.64,20,35,14,7.61,6.12,0.85,7.61,811.3,101.41,88.08,1,0.868553397,437.25,PASSED
Strategy 0.491,USDCAD_M1_UTC2,54.55,23,39,16,7.21,5.86,1.81,7.21,769.1,96.14,74.19,2,0.771687123,461.25,PASSED
Strategy 0.4911,USDCAD_M1_UTC2,54.55,23,37,14,6.47,5.35,0.97,6.47,689.9,86.24,74.41,2,0.862824675,397.5,PASSED
Strategy 0.4920,USDCAD_M1_UTC2,72.73,21,35,14,7.4,5.99,1.34,7.4,789.6,98.7,57.72,0,0.584802432,247.5,PASSED
Strategy 0.4944,USDCAD_M1_UTC2,63.64,23,38,15,7.3,5.92,0.77,7.3,778.7,97.34,76.75,1,0.788473392,414.75,PASSED
Strategy 0.4946,USDCAD_M1_UTC2,63.64,20,35,14,7.56,6.09,0.85,7.56,806.3,100.79,87.17,1,0.864867546,437.25,PASSED
Strategy 0.497,USDCAD_M1_UTC2,54.55,22,37,15,6.09,5.09,0.72,6.09,649.8,81.22,85.83,2,1.056759419,396.75,PASSED
Strategy 0.4980,USDCAD_M1_UTC2,63.64,22,37,15,6.67,5.49,0.72,6.67,711.4,88.92,78.18,1,0.879217274,363.75,PASSED
Strategy 0.5006,USDCAD_M1_UTC2,63.64,19,36,17,7.65,6.15,1.11,7.65,816.0,102.0,78.0,1,0.764705882,373.5,PASSED
Strategy 0.5008,USDCAD_M1_UTC2,63.64,20,35,15,7.5,6.05,0.92,7.51,800.5,100.06,85.41,1,0.853587847,350.25,PASSED
Strategy 0.5027,USDCAD_M1_UTC2,63.64,21,34,13,6.22,5.18,1.1,6.22,664.0,83.0,73.31,1,0.883253012,201.75,PASSED
Strategy 0.5068,USDCAD_M1_UTC2,63.64,19,36,17,7.37,5.96,1.07,7.37,786.0,98.25,74.07,1,0.75389313,373.5,PASSED
Strategy 0.5070,USDCAD_M1_UTC2,54.55,20,37,17,6.54,5.4,0.74,6.54,697.5,87.19,85.93,2,0.985548801,423.75,PASSED
Strategy 0.5080,USDCAD_M1_UTC2,54.55,17,35,18,5.54,4.69,0.9,5.54,590.8,73.85,73.96,2,1.001489506,505.5,PASSED
Strategy 0.5101,USDCAD_M1_UTC2,54.55,20,37,17,6.26,5.2,0.71,6.26,667.5,83.44,83.54,2,1.001198466,423.75,PASSED
Strategy 0.5103,USDCAD_M1_UTC2,63.64,30,45,15,6.99,5.71,0.8,6.99,745.4,93.17,88.01,1,0.944617366,483.75,PASSED
Strategy 0.5105,USDCAD_M1_UTC2,63.64,20,34,14,5.61,4.74,0.92,5.61,598.2,74.77,63.09,1,0.843787615,287.25,PASSED
Strategy 0.5169,USDCAD_M1_UTC2,54.55,23,37,13,5.36,4.56,0.8,5.36,571.5,71.44,74.3,2,1.040033595,-204.0,FAILED
Strategy 0.5177,USDCAD_M1_UTC2,72.73,25,40,15,5.76,4.85,0.96,5.76,614.0,76.75,29.74,0,0.387491857,590.25,PASSED
Strategy 0.5184,USDCAD_M1_UTC2,63.64,27,40,13,6.03,5.05,1.08,6.03,643.7,80.46,71.7,1,0.891126025,201.75,PASSED
Strategy 0.5185,USDCAD_M1_UTC2,72.73,23,36,13,7.13,5.8,1.41,7.13,760.6,95.07,61.88,0,0.650888819,155.25,PASSED
Strategy 0.5200,USDCAD_M1_UTC2,63.64,20,35,15,7.49,6.04,0.92,7.49,798.9,99.86,85.13,1,0.852493491,350.25,PASSED
Strategy 0.5216,USDCAD_M1_UTC2,63.64,22,36,14,5.54,4.69,0.97,5.54,590.6,73.82,67.84,1,0.918992143,201.75,PASSED
Strategy 0.5247,USDCAD_M1_UTC2,72.73,21,34,13,5.59,4.73,0.88,5.59,596.3,74.54,70.11,0,0.940568822,-165.0,FAILED
Strategy 0.5279,USDCAD_M1_UTC2,63.64,21,36,15,5.39,4.58,1.02,5.39,574.5,71.81,51.94,1,0.723297591,379.5,PASSED
Strategy 0.5291,USDCAD_M1_UTC2,63.64,24,41,17,6.52,5.39,0.82,6.52,695.3,86.91,76.97,1,0.885628811,350.25,PASSED
Strategy 0.5307,USDCAD_M1_UTC2,63.64,20,36,16,6.83,5.6,0.77,6.83,728.9,91.11,77.47,1,0.850290857,371.25,PASSED
Strategy 0.5308,USDCAD_M1_UTC2,63.64,23,37,14,7.45,6.02,0.84,7.45,794.3,99.29,79.98,1,0.805519186,371.25,PASSED
Strategy 0.5402,USDCAD_M1_UTC2,63.64,26,44,18,7.7,6.18,0.77,7.7,821.3,102.66,74.24,1,0.723163842,317.25,PASSED
Strategy 0.5405,USDCAD_M1_UTC2,54.55,19,35,16,6.46,5.35,0.72,6.46,689.1,86.14,86.28,2,1.001625261,423.75,PASSED
Strategy 0.5411,USDCAD_M1_UTC2,63.64,28,46,17,7.15,5.81,0.8,7.15,762.2,95.28,74.31,1,0.779911839,497.25,PASSED
Strategy 0.5414,USDCAD_M1_UTC2,54.55,26,43,17,6.21,5.17,1.13,6.21,662.4,82.8,63.41,2,0.765821256,313.5,PASSED
Strategy 0.5423,USDCAD_M1_UTC2,54.55,19,34,15,5.53,4.68,1.02,5.53,589.5,73.69,71.59,2,0.971502239,399.0,PASSED
Strategy 0.5427,USDCAD_M1_UTC2,63.64,25,45,20,7.15,5.82,1.08,7.15,762.8,95.35,57.15,1,0.599370739,351.0,PASSED
Strategy 0.5429,USDCAD_M1_UTC2,63.64,20,35,15,7.4,5.99,0.82,7.41,789.8,98.73,86.36,1,0.874708802,371.25,PASSED
Strategy 0.5441,USDCAD_M1_UTC2,54.55,21,35,13,5.57,4.71,0.84,5.57,593.8,74.23,81.12,2,1.092819615,-204.0,FAILED
Strategy 0.5466,USDCAD_M1_UTC2,63.64,21,36,15,6.12,5.11,1.3,6.12,652.7,81.59,60.01,1,0.735506802,294.0,PASSED
Strategy 0.5495,USDCAD_M1_UTC2,54.55,19,36,17,6.53,5.39,0.86,6.53,696.0,87.0,84.4,2,0.970114943,420.0,PASSED
