Strategy name,Symbol,% Profitable Months (IS),# of profits (IS),# of trades (IS),# of losses (IS),Annual % Return (IS),CAGR (IS),CalmarRatio (IS),Avg. % Profit Per Year (IS),Net profit in pips (IS),Avg. Yearly Profit In Pips (IS),Standard Deviation of Yearly Profit In Pips (IS),Count Of Losing Years (IS),Coefficient of Variation,Net profit (OOS),Filters result
Strategy 0.976,GBPUSD_M1_UTC2,63.64,23,36,13,9.89,7.56,0.87,9.89,791.5,98.94,121.02,1,1.223165555,575.0,PASSED
Strategy 0.99,GBPUSD_M1_UTC2,54.55,21,32,11,9.96,7.6,0.82,9.95,796.4,99.55,107.13,2,1.076142642,454.0,PASSED
template,GBPUSD_M1_UTC2,54.55,18,31,13,8.87,6.94,0.54,8.88,710.0,88.75,129.59,2,1.460169014,476.0,PASSED
Strategy 0.1012,NZDCAD_M1_UTC2,54.55,18,34,16,4.72,4.09,0.84,4.72,503.6,62.95,89.43,2,1.420651311,-94.5,FAILED
Strategy 0.1030,NZDCAD_M1_UTC2,45.45,23,33,10,4.82,4.16,0.87,4.82,514.4,64.3,98.2,3,1.527216174,-316.5,FAILED
Strategy 0.1084,NZDCAD_M1_UTC2,54.55,19,35,16,4.86,4.19,0.77,4.86,517.9,64.74,90.58,2,1.399135002,-221.25,FAILED
Strategy 0.1095,NZDCAD_M1_UTC2,63.64,25,38,13,7.54,6.08,1.22,7.54,804.6,100.57,121.08,1,1.203937556,-393.0,FAILED
Strategy 0.1230,NZDCAD_M1_UTC2,63.64,25,37,12,7.43,6.01,1.2,7.43,792.7,99.09,108.69,1,1.096881623,-393.0,FAILED
Strategy 0.1241,NZDCAD_M1_UTC2,54.55,19,34,14,5.88,4.94,1.07,5.88,627.3,78.41,102.74,2,1.310292055,-318.0,FAILED
Strategy 0.1265,NZDCAD_M1_UTC2,45.45,23,33,10,4.79,4.14,0.88,4.79,510.5,63.81,103.56,3,1.622943112,-316.5,FAILED
Strategy 0.140,NZDCAD_M1_UTC2,36.36,20,32,12,5.13,4.39,0.84,5.13,547.6,68.45,112.42,4,1.642366691,-231.0,FAILED
Strategy 0.1427,NZDCAD_M1_UTC2,36.36,25,41,16,5.97,5.0,0.84,5.97,637.2,79.65,125.85,4,1.580037665,-411.0,FAILED
Strategy 0.1430,NZDCAD_M1_UTC2,36.36,21,33,12,6.8,5.58,0.92,6.8,725.4,90.68,138.92,4,1.531980591,-468.0,FAILED
Strategy 0.1437,NZDCAD_M1_UTC2,54.55,27,41,14,6.51,5.38,0.97,6.51,694.6,86.83,115.61,2,1.331452263,-498.0,FAILED
Strategy 0.1498,NZDCAD_M1_UTC2,54.55,24,38,13,6.84,5.61,1.02,6.84,729.5,91.19,129.35,2,1.418466937,-306.0,FAILED
Strategy 0.1593,NZDCAD_M1_UTC2,54.55,23,32,9,4.85,4.18,0.93,4.84,516.8,64.6,76.51,2,1.184365325,-50.25,FAILED
Strategy 0.1615,NZDCAD_M1_UTC2,54.55,23,37,14,6.9,5.65,0.97,6.9,735.8,91.97,115.7,2,1.258018919,-363.0,FAILED
Strategy 0.1668,NZDCAD_M1_UTC2,36.36,21,33,12,6.75,5.55,0.91,6.75,720.4,90.05,137.68,4,1.528928373,-468.0,FAILED
Strategy 0.171,NZDCAD_M1_UTC2,45.45,29,45,16,6.8,5.58,0.95,6.8,724.9,90.61,126.76,3,1.398962587,-376.5,FAILED
Strategy 0.1745,NZDCAD_M1_UTC2,54.55,23,32,9,3.88,3.44,0.73,3.88,414.1,51.76,70.95,2,1.370749614,-155.25,FAILED
Strategy 0.179,NZDCAD_M1_UTC2,36.36,19,32,13,5.52,4.68,0.77,5.52,588.7,73.59,115.37,4,1.567740182,-288.0,FAILED
Strategy 0.1837,NZDCAD_M1_UTC2,45.45,22,38,16,5.06,4.34,0.75,5.06,540.0,67.5,94.4,3,1.398518519,-207.75,FAILED
Strategy 0.1856,NZDCAD_M1_UTC2,54.55,20,32,11,6.85,5.61,1.11,6.85,730.3,91.29,130.23,2,1.426552744,-306.0,FAILED
Strategy 0.1893,NZDCAD_M1_UTC2,54.55,20,35,14,5.63,4.76,1.03,5.63,600.4,75.05,97.6,2,1.300466356,-318.0,FAILED
Strategy 0.1983,NZDCAD_M1_UTC2,45.45,23,36,13,6.21,5.17,0.87,6.21,662.1,82.76,125.39,3,1.515103915,-411.0,FAILED
Strategy 0.2,NZDCAD_M1_UTC2,54.55,18,32,13,6.05,5.06,1.11,6.05,645.6,80.7,106.88,2,1.3244114,-318.0,FAILED
Strategy 0.201,NZDCAD_M1_UTC2,54.55,22,32,10,5.17,4.42,1.04,5.17,551.4,68.93,100.41,2,1.456695198,-211.5,FAILED
